text
A friend just sent me this excerpt from a Tesla blog I wrote 14 years ago https://t.co/Hr8w52ithY
RT @SpaceX: Ms. Tree caught a fairing half – our third successful catch! https://t.co/VJU8asg4gS
RT @SpaceX: Falcon 9’s first stage has landed on the Of Course I Still Love You droneship – our 49th successful landing of an orbital class…
RT @SpaceX: Liftoff! https://t.co/rFRtJuTXFL
Liquid nitrogen cryogenic strength test underway ☃️ https://t.co/qRPBLInqm0
Chairs are underappreciated
The stars in Starship’s mirrored hull reflected
"RT @NASA: Who says Dragons aren’t real? 🔥🐲

Capture the excitement of a rocket launch and apply to tour @NASAKennedy and witness the next @…"
Starship 9m test tank made 7.5 bar at room temp! Small leak at a weld doubler. Will be repaired &amp; retested at cryo. https://t.co/Bz3lrwkYRU
"RT @SpaceX: Standing down today due to strong upper level winds. Next launch opportunity is tomorrow at 9:28 a.m. EST, or 14:28 UTC."
"RT @SpaceX: Weather is 50% favorable for tomorrow’s launch of 60 Starlink satellites at 9:49 a.m. EST, 14:49 UTC. Webcast will go live ~15…"
"RT @engineers_feed: Imagine seeing this next to you in traffic🙀
📱https://t.co/O5vPbjG2E4 https://t.co/b07mpRdIF8"
"A Tesla works as a boat for short periods of time, as an electric car has no air intake or exhaust to block &amp; battery/motor/electronics are water-sealed. Submarines are just underwater EVs. 
https://t.co/1U63ZoVj3q https://t.co/KKfcUQGYnL"
Meme necromancy https://t.co/8aPtXju7gF
https://t.co/sGnhzoThtK
Want to play The Witcher game on your Tesla? (you can already watch the show on Tesla Netflix theater)
Improved Accommodations https://t.co/iRBK2yIfd7
"RT @SpaceX: Crew Dragon separating from Falcon 9 during today’s test, which verified the spacecraft’s ability to carry astronauts to safety…"
RT @SpaceX: Splashdown of Crew Dragon in the Atlantic Ocean! https://t.co/V1C2Xfd9Mk
RT @SpaceX: Dragon's main parachutes have been deployed https://t.co/SMLK62YXPP
RT @SpaceX: Dragon's drogue chutes deployed nominally https://t.co/vdzIjDmTO7
RT @SpaceX: Dragon’s trunk has deployed https://t.co/bxRPYGpJTx
RT @SpaceX: Dragon has separated from Falcon 9 and its SuperDraco engines have completed their burn https://t.co/tDhogz1qQ9
RT @SpaceX: Liftoff! https://t.co/Ak8lJ3igyW
"RT @NASA: Test complete! Today, @SpaceX completed its In-Flight Abort Test designed to show the #CrewDragon spacecraft’s capability to safe…"
"RT @NASA: Today’s @SpaceX In-Flight Abort test, which does not have @NASA_Astronauts onboard the spacecraft, is intended to demonstrate #Cr…"
"Dragon high altitude, supersonic abort test is a risky mission, as it’s pushing the envelope in so many ways"
RT @SpaceX: Watch live as SpaceX tests Crew Dragon’s in-flight launch escape capabilities  https://t.co/lcfz0LS8O9
5 mins from liftoff https://t.co/5CHzQBfXrr
RT @SpaceX: Standing down from today’s in-flight Crew Dragon launch escape test attempt due to sustained winds and rough seas in the recove…
RT @Commercial_Crew: .@NASA and @SpaceX are standing down from today’s #CrewDragon In-Flight Abort test due to poor splashdown and recovery…
Meteor!! https://t.co/PyXbRZR013
RT @SpaceX: Latest weather data suggests sustained winds and rough seas in the recovery area during the top of tomorrow’s four-hour launch…
"Dragon Spacecraft supersonic abort test coming up either tomorrow or Sunday, depending on weather @NASA @SpaceX"
RT @NASA: LIVE NOW: Hear from mission experts as they talk about @SpaceX's In-Flight Abort Test. The test will demonstrate #CrewDragon’s ab…
RT @arstechnica: SpaceX will shut down its rocket mid-flight to test Dragon’s escape system https://t.co/316e2oxTjP by @SciGuySpace
Hehehe https://t.co/bnlN7Vn6bl
Megatons per year to orbit are needed for life to become multiplanetary
RT @Teslarati: The Boring Company releases new images of Las Vegas project as tunnel nears 50% mark https://t.co/3ukxT2C0EE
"RT @NASA: Targeted for Sat., Jan. 18: the final major test before @NASA_Astronauts fly on the @SpaceX #CrewDragon. This @Commercial_Crew in…"
"Starship orbital vehicle SN1, liquid oxygen header tank &amp; nosecone https://t.co/IaSEdIyZgP"
RT @Commercial_Crew: .@SpaceX's uncrewed in-flight abort test is targeted for 8am ET on Jan. 18. This test will show that the #CrewDragon c…
"RT @universal_sci: What it will look like when the sun becomes a red giant 

Credit: ESA/Hubble (M. Kornmesser &amp; L. L. Christensen) https:/…"
Great song https://t.co/Zojlie0GG7
"T-shirt is bulletproof &amp; makes u buff!
https://t.co/wO0oAakclu https://t.co/8k1WvVO1sm"
.@Space_Station https://t.co/1qD2qn0waJ
"RT @yousuck2020: [WANTED!!!] 
Why not be the ‘first woman’ to travel to the moon?
#MZ_looking_for_love 
https://t.co/R5VEMXwggl https://t.c…"
Teslas will soon talk to people if you want. This is real. https://t.co/8AJdERX5qa
Critical test launch before flying astronauts is green for Jan 18 https://t.co/r4mcuCfCil
We are trapped in a prison of fonts
🎶 Toss a coin to ur Witcher 🎶
Phony https://t.co/w9nyOAxQus
Bitcoin is *not* my safe word
I put the art in fart
"♥️♥️ Tesla China Team ♥️♥️
     Such amazing progress!!"
At Tesla Giga Shanghai NSFW!! https://t.co/1yrPyzJQGZ
cgi irl https://t.co/lKI3MP81oi
RT @SpaceX: Falcon 9 first stage has landed on the Of Course I Still Love You droneship – SpaceX’s 48th successful landing of an orbital cl…
Wikigenius https://t.co/P0jM14hGrc
Congratulations Tesla &amp; SpaceX on great 2019! You rock!! Looking forward to epic 2020 ♥️🚀🛰🚘☀️
Carlos Gone
"RT @Teslarati: Tesla Model S gets another 'Car of the Decade' Award: 'Nothing Else Comes Close'
https://t.co/m26soDUp0J"
Rest in peace Syd Mead. Your art will endure.
Simulation of first crewed flight of Falcon 9 / Dragon 2020 @NASA https://t.co/BSDPYTcVIG
😮 https://t.co/JejV2rBFrf
"Build super safe, Earthquake-proof tunnels under cities to solve traffic"
Was up all night with SpaceX team working on Starship tank dome production (most difficult part of primary structure). Dawn arrives … https://t.co/SzyDSYUYOu
"Turn on auto navigate feature &amp; car will activate traffic-based navigation to work, home or calendar, depending on context, as soon as you sit down. No input required at all."
"Just swipe down on Tesla nav button for car to automatically navigate to home, work or destination in calendar"
"RT @Teslarati: Happy Holidays via OTA!

Awesome first look at Tesla's (2019.40.50) software update in action, by @tesla_raj : Text messagin…"
"RT @Tesla: Trans-Canada Supercharger route from Vancouver to Halifax is now open! 🇨🇦⚡
Over half the locations are V3 for the fastest chargi…"
RT @SpaceX: Yesterday the team completed the 10th successful multi-chute test in a row of Crew Dragon’s upgraded Mark 3 parachute design –…
stock art https://t.co/HSWnwK68OV
Whoa … the stock is so high lol
"Just looked at my wiki for 1st time in years. It’s insane! Btw, can someone please delete “investor”. I do basically zero investing."
The real reason for Looper was to travel back in time &amp; stop a terrible calamity — the premiere of Cats!
Great show 🐼 https://t.co/12rguHHpgz
Holiday gift ideas https://t.co/uBBofvkYAI
"Tesla holiday software update has FSD sneak preview, Stardew Valley, Lost Backgammon &amp; a few other things"
You don’t hear much about element 43
Tesla Moth Mode (better late than never) https://t.co/Rcu87A8NkO
"Never trust cynics, as they excuse their own bad deeds by telling themselves everyone does it"
"RT @SpaceX: About 45 minutes after liftoff, Ms. Tree and Ms. Chief will attempt to catch the fairing halves https://t.co/lTEkEvwx6P"
RT @SpaceX: Webcast of Falcon 9 launch now live  https://t.co/KMQtL0sGDd
https://t.co/aAEFph9G6D
Baby Yoda 💕 https://t.co/jpQvCccHb9
smol ∩ puppy ∩ math https://t.co/bmpUurYbPV
"If life is a video game, the graphics are great, but the plot is confusing &amp; the tutorial is way too long"
Root of energy to mass ratio is max render speed of the simulation
Kids these days have no respect! https://t.co/lfJTJnqllQ
"RT @edmunds: The Edmunds 2020 #TopRated best EV of the year is the @Tesla Model 3.

The Model 3 is unlike any other vehicle on sale, electr…"
"RT @Teslarati: Tesla's Virtual Power Plant rescues grid after coal peaker fails despite being only 2% complete
https://t.co/XZZts0R3vl"
"RT @SpaceX: Capture confirmed! After 19 flights to the @space_station, Dragon has now delivered over 95,000 pounds of critical supplies to…"
Huge thanks to everyone who contributed ideas to Cybertruck. It’s better because of you! ♥️♥️♥️
RT @SpaceX: Falcon 9 lands on the Of Course I Still Love You droneship after delivering Dragon to orbit https://t.co/Iumj0mJjyi
Speed solves everything https://t.co/DGYlfyInxi
"Super strong roof that generates clean energy, looks great &amp; costs less than a normal roof plus solar panels! https://t.co/D9yUuL7NVE https://t.co/Sv4JHaXcOx"
"RT @SpaceX: Dragon’s solar arrays have deployed, and it’s on its way to the International Space Station. Capture by the @Space_Station crew…"
